task,description
Read and understand the agenda.,The agenda is what determines the course of a meeting and is often crafted with the intention of priority and what time allows.
Take action on agenda items.,"Committees are created to accomplish tasks. It is the responsibility of committee members to read the agenda, understand it, make motions, and then follow through with the resolutions of their actions."
Appointing new committee members.,It is common for committee members to serve “terms” and have a term limit. It’s important to always have new committee members in place to preserve the committee’s purpose.
Support the action and efforts of the committee overall.,"As previously stated, the committee exists for a reason. It is the responsibility of that committee to oversee and advance the organization’s overall mission."
